time,x,y,value
28800,144.51,-37.68,1
46800,144.51,-37.68,1
50400,144.51,-37.68,1
54000,144.51,-37.68,1
68400,144.51,-37.68,1
28800,144.51,-37.31,2
54000,144.51,-37.30,1
46800,144.52,-38.26,1
36000,144.52,-38.04,1
43200,144.52,-38.03,1
3600,144.52,-37.98,1
36000,144.52,-37.98,2
43200,144.52,-37.98,3
50400,144.52,-37.98,2
61200,144.52,-37.98,1
79200,144.52,-37.98,1
32400,144.52,-37.96,1
64800,144.52,-37.91,1
14400,144.52,-37.68,1
21600,144.52,-37.68,1
36000,144.52,-37.68,1
43200,144.52,-37.68,1
50400,144.52,-37.68,2
54000,144.52,-37.68,2
57600,144.52,-37.68,1
61200,144.52,-37.68,1
64800,144.52,-37.68,1
57600,144.52,-37.61,1
54000,144.52,-37.48,1
39600,144.52,-37.39,1
43200,144.52,-37.39,1
28800,144.52,-37.38,1
46800,144.52,-37.38,1
39600,144.52,-37.37,1
32400,144.52,-37.36,2
39600,144.52,-37.36,1
50400,144.52,-37.36,1
79200,144.52,-37.36,1
21600,144.52,-37.35,1
28800,144.52,-37.35,1
32400,144.52,-37.35,1
39600,144.52,-37.35,1
43200,144.52,-37.35,1
46800,144.52,-37.35,1
54000,144.52,-37.35,1
61200,144.52,-37.35,3
50400,144.52,-37.32,2
54000,144.52,-37.31,1
64800,144.52,-37.31,1
54000,144.53,-38.26,2
21600,144.53,-37.98,1
36000,144.53,-37.98,1
50400,144.53,-37.98,2
61200,144.53,-37.98,3
64800,144.53,-37.98,1
72000,144.53,-37.98,1
61200,144.53,-37.97,1
75600,144.53,-37.97,1
25200,144.53,-37.68,1
32400,144.53,-37.68,1
39600,144.53,-37.68,1
46800,144.53,-37.68,2
57600,144.53,-37.68,2
79200,144.53,-37.68,1
54000,144.53,-37.47,1
57600,144.53,-37.47,1
57600,144.53,-37.40,1
36000,144.53,-37.36,1
32400,144.53,-37.35,1
39600,144.53,-37.35,1
32400,144.53,-37.32,1
36000,144.53,-37.32,1
54000,144.53,-37.32,1
25200,144.54,-37.97,1
28800,144.54,-37.97,1
32400,144.54,-37.97,1
36000,144.54,-37.97,3
39600,144.54,-37.97,1
46800,144.54,-37.97,1
54000,144.54,-37.97,1
57600,144.54,-37.97,1
61200,144.54,-37.97,1
64800,144.54,-37.97,1
72000,144.54,-37.97,1
75600,144.54,-37.97,1
82800,144.54,-37.97,1
68400,144.54,-37.96,1
28800,144.54,-37.78,2
32400,144.54,-37.78,1
39600,144.54,-37.78,1
50400,144.54,-37.78,1
39600,144.54,-37.77,1
54000,144.54,-37.77,1
61200,144.54,-37.77,1
39600,144.54,-37.76,1
46800,144.54,-37.76,1
50400,144.54,-37.76,1
57600,144.54,-37.76,1
3600,144.54,-37.74,1
32400,144.54,-37.70,1
18000,144.54,-37.69,1
25200,144.54,-37.69,1
21600,144.54,-37.68,1
28800,144.54,-37.68,3
32400,144.54,-37.68,2
36000,144.54,-37.68,2
39600,144.54,-37.68,1
46800,144.54,-37.68,1
50400,144.54,-37.68,2
54000,144.54,-37.68,1
57600,144.54,-37.68,1
61200,144.54,-37.68,2
64800,144.54,-37.68,2
72000,144.54,-37.68,2
75600,144.54,-37.68,1
7200,144.54,-37.67,1
10800,144.54,-37.67,1
3600,144.54,-37.66,1
28800,144.54,-37.66,1
32400,144.54,-37.66,1
39600,144.54,-37.66,2
50400,144.54,-37.66,1
68400,144.54,-37.66,1
50400,144.54,-37.47,1
25200,144.54,-37.43,1
46800,144.54,-37.43,2
54000,144.54,-37.43,1
57600,144.54,-37.43,1
61200,144.54,-37.43,1
14400,144.54,-37.42,1
25200,144.54,-37.42,1
28800,144.54,-37.42,1
32400,144.54,-37.42,1
39600,144.54,-37.42,3
43200,144.54,-37.42,1
50400,144.54,-37.42,1
64800,144.54,-37.42,2
21600,144.54,-37.41,1
43200,144.54,-37.41,3
46800,144.54,-37.41,1
50400,144.54,-37.41,1
54000,144.54,-37.41,3
61200,144.54,-37.41,1
25200,144.54,-37.40,2
36000,144.54,-37.40,1
46800,144.54,-37.40,1
50400,144.54,-37.40,1
57600,144.54,-37.40,2
64800,144.54,-37.40,1
57600,144.54,-37.39,1
21600,144.54,-37.38,1
46800,144.54,-37.38,2
50400,144.54,-37.38,1
57600,144.54,-37.38,1
61200,144.54,-37.38,2
64800,144.54,-37.38,1
36000,144.54,-37.37,1
57600,144.54,-37.37,1
32400,144.54,-37.36,1
46800,144.54,-37.36,1
54000,144.54,-37.36,1
57600,144.54,-37.36,1
64800,144.54,-37.36,3
68400,144.54,-37.36,1
54000,144.54,-37.35,1
50400,144.54,-37.34,1
32400,144.54,-37.32,1
36000,144.54,-37.32,1
39600,144.54,-37.32,1
43200,144.54,-37.32,1
50400,144.54,-37.32,1
54000,144.54,-37.32,1
64800,144.54,-37.32,1
32400,144.55,-37.98,1
43200,144.55,-37.98,1
25200,144.55,-37.97,1
28800,144.55,-37.97,2
32400,144.55,-37.97,2
39600,144.55,-37.97,3
43200,144.55,-37.97,2
50400,144.55,-37.97,2
54000,144.55,-37.97,1
61200,144.55,-37.97,5
64800,144.55,-37.97,2
79200,144.55,-37.97,1
25200,144.55,-37.96,1
28800,144.55,-37.96,1
32400,144.55,-37.96,1
43200,144.55,-37.96,1
46800,144.55,-37.96,1
50400,144.55,-37.96,2
64800,144.55,-37.96,1
68400,144.55,-37.96,1
79200,144.55,-37.96,1
82800,144.55,-37.96,1
43200,144.55,-37.83,1
28800,144.55,-37.79,1
54000,144.55,-37.79,1
28800,144.55,-37.78,1
39600,144.55,-37.78,1
61200,144.55,-37.78,1
10800,144.55,-37.74,1
54000,144.55,-37.74,1
57600,144.55,-37.74,1
79200,144.55,-37.74,1
21600,144.55,-37.71,1
61200,144.55,-37.71,1
64800,144.55,-37.71,1
72000,144.55,-37.71,1
21600,144.55,-37.70,1
46800,144.55,-37.70,1
21600,144.55,-37.69,5
25200,144.55,-37.69,1
28800,144.55,-37.69,2
57600,144.55,-37.69,2
61200,144.55,-37.69,1
0,144.55,-37.68,1
10800,144.55,-37.68,1
14400,144.55,-37.68,2
18000,144.55,-37.68,1
21600,144.55,-37.68,1
28800,144.55,-37.68,2
36000,144.55,-37.68,3
39600,144.55,-37.68,4
43200,144.55,-37.68,2
46800,144.55,-37.68,2
50400,144.55,-37.68,5
54000,144.55,-37.68,4
57600,144.55,-37.68,4
61200,144.55,-37.68,4
72000,144.55,-37.68,1
75600,144.55,-37.68,2
21600,144.55,-37.67,1
43200,144.55,-37.67,1
46800,144.55,-37.67,2
61200,144.55,-37.67,1
64800,144.55,-37.67,1
72000,144.55,-37.67,2
54000,144.55,-37.66,1
57600,144.55,-37.66,1
82800,144.55,-37.66,1
46800,144.55,-37.65,1
32400,144.55,-37.61,1
43200,144.55,-37.61,1
54000,144.55,-37.44,1
57600,144.55,-37.44,1
68400,144.55,-37.44,1
75600,144.55,-37.44,1
32400,144.55,-37.43,1
46800,144.55,-37.43,1
57600,144.55,-37.43,1
61200,144.55,-37.43,1
36000,144.55,-37.42,1
39600,144.55,-37.42,1
54000,144.55,-37.38,1
43200,144.55,-37.35,1
61200,144.55,-37.35,1
72000,144.55,-37.35,1
75600,144.55,-37.34,1
39600,144.55,-37.33,2
54000,144.55,-37.33,3
75600,144.55,-37.33,1
54000,144.56,-38.17,1
14400,144.56,-37.96,1
18000,144.56,-37.96,1
21600,144.56,-37.96,1
25200,144.56,-37.96,1
28800,144.56,-37.96,1
36000,144.56,-37.96,2
39600,144.56,-37.96,3
43200,144.56,-37.96,1
46800,144.56,-37.96,3
50400,144.56,-37.96,3
54000,144.56,-37.96,1
57600,144.56,-37.96,3
61200,144.56,-37.96,1
64800,144.56,-37.96,3
68400,144.56,-37.96,1
72000,144.56,-37.96,3
75600,144.56,-37.96,3
79200,144.56,-37.96,1
28800,144.56,-37.95,1
25200,144.56,-37.84,1
57600,144.56,-37.84,1
21600,144.56,-37.79,1
28800,144.56,-37.79,1
82800,144.56,-37.79,1
0,144.56,-37.78,1
21600,144.56,-37.78,1
46800,144.56,-37.78,1
61200,144.56,-37.78,3
79200,144.56,-37.78,1
32400,144.56,-37.77,1
39600,144.56,-37.77,1
46800,144.56,-37.76,1
54000,144.56,-37.76,1
68400,144.56,-37.76,1
18000,144.56,-37.75,1
21600,144.56,-37.75,2
32400,144.56,-37.75,1
46800,144.56,-37.75,1
54000,144.56,-37.75,1
75600,144.56,-37.75,1
36000,144.56,-37.74,1
54000,144.56,-37.74,1
57600,144.56,-37.74,1
61200,144.56,-37.74,2
32400,144.56,-37.72,1
39600,144.56,-37.72,1
46800,144.56,-37.72,2
46800,144.56,-37.71,1
54000,144.56,-37.71,1
72000,144.56,-37.71,1
10800,144.56,-37.70,1
18000,144.56,-37.70,2
21600,144.56,-37.70,1
32400,144.56,-37.70,2
36000,144.56,-37.70,1
39600,144.56,-37.70,2
43200,144.56,-37.70,2
50400,144.56,-37.70,2
54000,144.56,-37.70,1
57600,144.56,-37.70,4
61200,144.56,-37.70,1
64800,144.56,-37.70,1
25200,144.56,-37.69,1
28800,144.56,-37.69,2
32400,144.56,-37.69,1
36000,144.56,-37.69,2
39600,144.56,-37.69,1
43200,144.56,-37.69,1
50400,144.56,-37.69,2
57600,144.56,-37.69,3
61200,144.56,-37.69,1
64800,144.56,-37.69,3
68400,144.56,-37.69,2
82800,144.56,-37.69,1
3600,144.56,-37.68,1
18000,144.56,-37.68,1
21600,144.56,-37.68,1
25200,144.56,-37.68,3
28800,144.56,-37.68,1
32400,144.56,-37.68,2
36000,144.56,-37.68,1
39600,144.56,-37.68,6
43200,144.56,-37.68,8
46800,144.56,-37.68,4
50400,144.56,-37.68,2
54000,144.56,-37.68,3
57600,144.56,-37.68,6
61200,144.56,-37.68,5
64800,144.56,-37.68,1
68400,144.56,-37.68,3
72000,144.56,-37.68,1
